"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
3,"AC_125","AC_095","2022-AC-095-G1-003-10",8,1,6,5,10
3,"AC_002","AC_122","2022-AC-122-G1-003-2",8,1,4,4,4
3,"AC_103","AC_154","2022-AC-154-G1-003-3",5,1,3,1,4
3,"AC_156","AC_090","2022-AC-090-G1-003-4",8,1,9,7,14
3,"AC_052","AC_133","2022-AC-133-G1-003-4",4,1,0,0,0
3,"AC_054","AC_155","2022-AC-155-G1-003-4",7,1,11,11,41
3,"AC_094","AC_217","2022-AC-217-G1-003-6",6,1,0,0,0
3,"AC_097","AC_064","2022-AC-064-G1-003-8",7,1,23,17,84
3,"AC_054","AC_119","2022-AC-119-G1-003-6",7,1,4,4,15
3,"AC_071","AC_115","2022-AC-115-G1-003-6",6,1,3,2,3
3,"AC_159","AC_192","2022-AC-192-G1-003-10",6,1,6,0,0
3,"AC_216","AC_099","2022-AC-099-G1-003-9",6,1,4,4,7
3,"AC_156","AC_005","2022-AC-005-G1-003-1",6,1,4,4,8
3,"AC_002","AC_160","2022-AC-160-G1-003-2",7,1,17,11,12
3,"AC_172","AC_111","2022-AC-111-G1-003-2",7,1,8,7,7
3,"AC_052","AC_212","2022-AC-212-G1-003-8",2,1,6,5,8
3,"AC_198","AC_051","2022-AC-051-G1-003-6",7,1,7,4,10
4,"AC_054","AC_119","2022-AC-119-G1-004-1",7,1,8,8,3
4,"AC_089","AC_032","2022-AC-032-G1-004-5",7,1,8,3,14
4,"AC_165","AC_206","2022-AC-206-G1-004-2",8,1,6,4,6
4,"AC_168","AC_010","2022-AC-010-G1-004-7",6,1,3,1,0
4,"AC_170","AC_185","2022-AC-185-G1-004-4",6,1,11,8,13
4,"AC_207","AC_055","2022-AC-055-G1-004-2",8,1,27,16,28
4,"AC_156","AC_016","2022-AC-016-G1-004-2",4,1,8,4,11
4,"AC_169","AC_182","2022-AC-182-G1-004-4",8,1,7,5,7
4,"AC_172","AC_040","2022-AC-040-G1-004-7",8,1,16,12,30
4,"AC_103","AC_144","2022-AC-144-G1-004-4",7,1,3,0,0
4,"AC_161","AC_088","2022-AC-088-G1-004-6",8,1,13,7,7
4,"AC_008","AC_092","2022-AC-092-G1-004-2",7,1,7,6,5
4,"AC_091","AC_204","2022-AC-204-G1-004-6",7,1,18,11,31
4,"AC_170","AC_118","2022-AC-118-G1-004-4",8,1,28,17,54
4,"AC_107","AC_130","2022-AC-130-G1-004-5",7,1,17,8,21
4,"AC_039","AC_148","2022-AC-148-G1-004-5",8,1,17,14,32
4,"AC_047","AC_113","2022-AC-113-G1-004-8",3,1,0,0,0
4,"AC_216","AC_034","2022-AC-034-G1-004-7",6,1,11,6,11
4,"AC_054","AC_046","2022-AC-046-G1-004-8",7,1,13,10,14
4,"AC_195","AC_179","2022-AC-179-G1-004-2",7,1,7,3,7
4,"AC_045","AC_151","2022-AC-151-G1-004-5",6,1,6,3,6
4,"AC_071","AC_215","2022-AC-215-G1-004-2",6,1,22,17,24
4,"AC_015","AC_197","2022-AC-197-G1-004-3",7,1,44,30,175
4,"AC_198","AC_072","2022-AC-072-G1-004-2",4,1,26,14,23
4,"AC_216","AC_058","2022-AC-058-G1-004-8",8,1,7,5,41
4,"AC_094","AC_109","2022-AC-109-G1-004-6",7,1,33,23,112
4,"AC_150","AC_083","2022-AC-083-G1-004-3",8,1,3,2,5
4,"AC_124","AC_014","2022-AC-014-G1-004-1",8,1,6,5,12
4,"AC_103","AC_154","2022-AC-154-G1-004-6",7,1,13,13,32
4,"AC_207","AC_070","2022-AC-070-G1-004-5",7,1,13,9,28
4,"AC_179","AC_171","2022-AC-171-G1-004-1",6,1,3,0,0
4,"AC_071","AC_115","2022-AC-115-G1-004-8",6,1,13,10,18
4,"AC_047","AC_152","2022-AC-152-G1-004-7",3,1,2,2,3
4,"AC_061","AC_158","2022-AC-158-G1-004-5",7,1,8,7,9
4,"AC_170","AC_203","2022-AC-203-G1-004-9",6,1,0,0,0
4,"AC_102","AC_178","2022-AC-178-G1-004-3",6,1,14,9,20
5,"AC_052","AC_131","2022-AC-131-G1-005-3",8,1,12,9,9
5,"AC_094","AC_216","2022-AC-216-G1-005-6",7,1,21,21,29
5,"AC_165","AC_062","2022-AC-062-G1-005-1",7,1,8,7,5
5,"AC_156","AC_005","2022-AC-005-G1-005-9",4,1,1,0,0
5,"AC_150","AC_110","2022-AC-110-G1-005-5",8,1,9,7,26
5,"AC_068","AC_056","2022-AC-056-G1-005-6",8,1,8,8,19
5,"AC_054","AC_155","2022-AC-155-G1-005-9",7,1,12,12,16
5,"AC_156","AC_090","2022-AC-090-G1-005-3",7,1,16,12,28
5,"AC_177","AC_211","2022-AC-211-G1-005-10",6,1,6,6,15
5,"AC_159","AC_143","2022-AC-143-G1-005-8",3,1,5,5,2
